Keyword,Avg. monthly searches,Competition (indexed value),Verdict,SERP Notes,Used In,Usage Count,Status,Content Type,Tool Covered
burn in oled test,140,0,WINNABLE,All small burn-in test utilities; no platform giants,,0,done,tool,image-retention-test
dead test pixel,140,0,WINNABLE,Small pixel test tools; no platform giants,,0,done,tool,dead-pixel-test
deadpixelcheck,140,0,WINNABLE,Branded for small pixel check tool; no platform giants,,0,skip,skip,
first 120hz monitor,140,0,WINNABLE,Historical/niche content; small tech blogs and forums,refresh-rate-60hz-vs-144hz,1,done,blog,refresh-rate-checker
fix dead pixels on monitor,140,0,WINNABLE,Small tech blogs; no platform giants,,0,done,tool,stuck-pixel-fixer
high refresh rate crt,140,0,WINNABLE,Very niche CRT content; small forums; no platform giants,refresh-rate-60hz-vs-144hz,1,done,blog,refresh-rate-checker
jscreenfix full screen,140,0,WINNABLE,Branded for JScreenFix; small tool site dominates,,0,skip,skip,
oled dead pixel test,140,0,WINNABLE,Small pixel test tools; no platform giants,,0,done,tool,dead-pixel-test/for-oled
pixel test screen,140,0,WINNABLE,Small pixel test utilities; no platform giants,,0,done,tool,dead-pixel-test
program to fix dead pixels,140,0,WINNABLE,JScreenFix + PixelHealer + small download sites; no giants,,0,done,tool,stuck-pixel-fixer
144hz crt,110,0,WINNABLE,Very niche CRT content; small gaming forums only,refresh-rate-60hz-vs-144hz,1,done,blog,refresh-rate-checker
black pixel test,110,0,WINNABLE,Small online pixel test tools; no platform giants,,0,done,tool,dead-pixel-test
test dot pixel,110,0,WINNABLE,Small pixel test utilities; no platform giants,,0,done,tool,dead-pixel-test
crt monitor resolution,260,1,WINNABLE,Niche CRT; VOGONS Forum + small tech blogs; no giants,refresh-rate-60hz-vs-144hz,1,done,blog,resolution-checker
wide screen crt,110,3,WINNABLE,Niche CRT; small retro/gaming forums; no giants,,0,todo,blog,
120hz crt monitor,110,17,WINNABLE,Very niche CRT content; small gaming forums only,refresh-rate-60hz-vs-144hz,1,done,blog,refresh-rate-checker
1080p crt monitor,210,21,WINNABLE,Niche CRT; small retro/gaming forums and blogs,,0,todo,blog,
highest resolution crt monitor,170,21,WINNABLE,Very niche CRT content; small forums; no platform giants,,0,todo,blog,
bleeding laptop,6600,0,BORDERLINE,Mix of backlight bleed fix guides + manufacturer blogs,,0,done,tool,backlight-bleed-test
broken pixels on iphone,6600,0,BORDERLINE,Apple Community + small repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dead iphone pixels,6600,0,BORDERLINE,Apple Community present + small iPhone repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dead pixel iphone,6600,0,BORDERLINE,Apple Community present; mix with small repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
iphone stuck pixel,6600,0,BORDERLINE,Apple Community + JScreenFix + small repair sites,stuck-pixels-causes-and-fixes,1,done,blog,stuck-pixel-fixer
lcd bleed,6600,0,BORDERLINE,Mix of small backlight bleed guides + manufacturer blogs,,0,done,tool,backlight-bleed-test
screen burn in samsung,6600,0,BORDERLINE,Samsung Community + XDA + Android Central,,0,todo,blog,image-retention-test
amoled screen dead pixel,5400,0,BORDERLINE,Samsung Members + DeadPixelTest.org + XDA,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
white screen 1080p,5400,0,BORDERLINE,White screen test tools + informational mix,,0,done,tool,white-screen
damaged pixels on laptop screen,4400,0,BORDERLINE,Lenovo + small repair guides present,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
screen bleeding in laptop,4400,0,BORDERLINE,Small tech blogs + manufacturer pages,,0,done,tool,backlight-bleed-test
white pixel on laptop screen,4400,0,BORDERLINE,Small pixel fix guides + manufacturer pages,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
white pixel screen,4400,0,BORDERLINE,Small pixel fix guides + manufacturer pages,,0,done,tool,dead-pixel-test
aoc monitor dead pixel,3600,0,BORDERLINE,AOC warranty pages + gaming community forums,,0,todo,blog,dead-pixel-test
backlight bleed laptop,3600,0,BORDERLINE,Mix of small tech blogs + manufacturer pages,what-is-backlight-bleed,1,done,tool,backlight-bleed-test
iphone screen damaged pixels,3600,0,BORDERLINE,Apple Community + small iPhone repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
laptop backlight bleed,3600,0,BORDERLINE,Mix of small tech blogs + manufacturer pages,what-is-backlight-bleed,1,done,tool,backlight-bleed-test
white pixel on screen,3600,0,BORDERLINE,JScreenFix + small pixel guides + Lenovo present,,0,done,tool,dead-pixel-test
amoled stuck pixel,2900,0,BORDERLINE,Samsung Members + small pixel tools,stuck-pixels-causes-and-fixes,1,done,blog,stuck-pixel-fixer
backlight bleed macbook pro,2900,0,BORDERLINE,Apple Community + MacRumors + iFixit present,what-is-backlight-bleed,1,done,blog,backlight-bleed-test
dead pixel in laptop,2900,0,BORDERLINE,Lenovo + small repair guides present,,0,done,tool,dead-pixel-test/for-laptops
dead pixels on laptop screen spreading,2900,0,BORDERLINE,Lenovo + HP Support Community + small blogs,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dell monitor dead pixel,2900,0,BORDERLINE,Dell community + Tom's Guide + small tech blogs,,0,todo,blog,dead-pixel-test
stuck pixels phone,2900,0,BORDERLINE,Small repair guides + manufacturer pages,stuck-pixels-causes-and-fixes,1,done,blog,stuck-pixel-fixer
white pixel on monitor,2900,0,BORDERLINE,Small pixel fix guides + manufacturer pages,,0,done,tool,dead-pixel-test
oled monitor burn in,2400,0,BORDERLINE,ViewSonic + Corsair + Tom's Hardware + small sites,,0,done,tool,image-retention-test
dead pixel iphone xr,2400,0,BORDERLINE,Apple Community + MacRumors Forums + small repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dead screen pixels,2400,0,BORDERLINE,Small pixel guides + manufacturer knowledge bases,,0,done,tool,dead-pixel-test
backlight bleed samsung,1900,0,BORDERLINE,Samsung community + small guides present,,0,todo,blog,backlight-bleed-test
oculus dead pixel,1900,0,BORDERLINE,Meta Community Forums + small VR repair sites,,0,todo,blog,dead-pixel-test
oled phone burn in,1900,0,BORDERLINE,Samsung Community + Android Authority + small sites,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
1024x768 screen resolution,1600,0,BORDERLINE,Informational; Wikipedia + small tech blogs,,0,done,tool,resolution-checker
dead pixel on mobile screen,1600,0,BORDERLINE,Small repair guides + manufacturer pages,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
iphone broken pixels,1600,0,BORDERLINE,Apple Community + small iPhone repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
native screen resolution,1600,0,BORDERLINE,Microsoft support + RTINGS + small guides,,0,done,tool,resolution-checker
samsung s20 dead pixel,1600,0,BORDERLINE,Samsung Community + small guides,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
oled burn in fix,1300,0,BORDERLINE,LG + Samsung official + Tom's Guide + small sites,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
benq ex2780q backlight bleed,1300,0,BORDERLINE,BenQ + RTINGS + small tech blogs present,,0,todo,blog,backlight-bleed-test
damaged pixel,1300,0,BORDERLINE,Mix of manufacturer knowledge bases + small guides,,0,done,tool,dead-pixel-test
dead pixel lcd,1300,0,BORDERLINE,Mix of small pixel guides + manufacturer knowledge bases,,0,done,tool,dead-pixel-test
dead pixels macbook pro retina display,1300,0,BORDERLINE,Apple Community + iFixit + MacRumors present,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
fix oled burn in,1300,0,BORDERLINE,LG + Samsung + Tom's Guide + small sites,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
iphone xr dead pixel,1300,0,BORDERLINE,Apple Community + MacRumors + small repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
ips glow laptop,1300,0,BORDERLINE,DisplayNinja + Tom's Hardware Forum + BenQ + small sites,,0,done,tool,ips-glow-test
light bleeding laptop,1300,0,BORDERLINE,Small tech blogs + manufacturer pages,,0,done,tool,backlight-bleed-test
oled burn in reddit,1300,0,BORDERLINE,RTINGS + LG + Samsung + XDA-Developers present,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
oled screen bleeding,1300,0,BORDERLINE,Small guides + AVForums + MacRumors present,what-is-backlight-bleed,1,done,blog,backlight-bleed-test
oled screen burn in fix,1300,0,BORDERLINE,LG + Samsung + Tom's Guide + small sites,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
oled tv burn in fix,1300,0,BORDERLINE,LG + Samsung official + small tech guides,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
burn in oled samsung,1000,0,BORDERLINE,Samsung Community + small tech guides,,0,todo,blog,image-retention-test
dead pixel iphone test,1000,0,BORDERLINE,Apple Community present + small pixel test tools,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dead pixel test iphone,1000,0,BORDERLINE,Apple Community present + small pixel test tools,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
oled panel burn in,1000,0,BORDERLINE,Mix of manufacturer pages + tech publications,,0,done,tool,image-retention-test
oled subtitle burn in,1000,0,BORDERLINE,Mix of RTINGS + small forum posts + LG,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
resolution 1280x1024,1000,0,BORDERLINE,Informational; small tech forums + Wikipedia,,0,done,tool,resolution-checker
screen resolution meaning,1000,0,BORDERLINE,Wikipedia + Samsung + Lenovo + ViewSonic + small blogs,understanding-monitor-resolution-dpi,1,done,blog,resolution-checker
xiaomi dead pixel,1000,0,BORDERLINE,Xiaomi community forum + small repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
backlight leakage,880,0,BORDERLINE,Small backlight guides + manufacturer knowledge bases,,0,done,tool,backlight-bleed-test
black pixels on iphone screen,880,0,BORDERLINE,Apple Community present + small repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
chromebook display resolution,880,0,BORDERLINE,Google Chromebook pages + small tech guides,,0,todo,blog,resolution-checker
damaged pixels on phone screen,880,0,BORDERLINE,Small repair guides + manufacturer pages,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dead pixel green,880,0,BORDERLINE,Small pixel guides; some manufacturer knowledge base results,,0,done,tool,dead-pixel-test
dead pixel lcd screen,880,0,BORDERLINE,Mix of small pixel guides + manufacturer pages,,0,done,tool,dead-pixel-test
dead pixel oled,880,0,BORDERLINE,Mix of small pixel guides + OLED manufacturer pages,,0,done,tool,dead-pixel-test/for-oled
dead pixel on iphone screen,880,0,BORDERLINE,Apple Community + small iPhone repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
lg burn in oled,880,0,BORDERLINE,LG official + RTINGS + small guides,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
lg oled tv burn in,880,0,BORDERLINE,LG official + TechRadar + RTINGS + small sites,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
light leakage laptop,880,0,BORDERLINE,Small tech blogs + manufacturer pages,,0,done,tool,backlight-bleed-test
macbook pro screen bleeding,880,0,BORDERLINE,Apple Community + MacRumors + iFixit present,what-is-backlight-bleed,1,done,blog,backlight-bleed-test
oled display burn in,880,0,BORDERLINE,Mix of manufacturer pages + tech publications,,0,done,tool,image-retention-test
oled screen burn in,880,0,BORDERLINE,Mix of manufacturer pages + Tom's Guide + small sites,,0,done,tool,image-retention-test
amoled screen bleeding,720,0,BORDERLINE,Samsung Members + small guides + XDA Forums,,0,todo,blog,backlight-bleed-test
backlight bleed monitor,720,0,BORDERLINE,DisplayNinja + Acer + iFixit + small guides,,0,done,tool,backlight-bleed-test
broken pixel iphone,720,0,BORDERLINE,Apple Community + small iPhone repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
burned pixel,720,0,BORDERLINE,Mix of small pixel fix/burn-in guides,,0,done,tool,image-retention-test
dead pixel in iphone,720,0,BORDERLINE,Apple Community present + small repair blogs,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dead pixel in phone,720,0,BORDERLINE,Small repair guides + manufacturer pages,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dead pixel in screen,720,0,BORDERLINE,Mix of small pixel fix sites + manufacturer pages,,0,done,tool,dead-pixel-test
dead pixels on iphone xr,720,0,BORDERLINE,Apple Community + small iPhone repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
green pixel on monitor,720,0,BORDERLINE,Small pixel guides + manufacturer knowledge bases,,0,done,tool,dead-pixel-test
hp omen backlight bleed,720,0,BORDERLINE,HP Support Community + small tech blogs,,0,todo,blog,backlight-bleed-test
oled dead pixel,720,0,BORDERLINE,Mix of OLED manufacturer pages + small pixel guides,,0,done,tool,dead-pixel-test/for-oled
samsung galaxy dead pixel,720,0,BORDERLINE,Samsung Community + small guides,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
screen refresh,720,0,BORDERLINE,Microsoft support + small how-to guides,,0,done,tool,refresh-rate-checker
stuck pixel ipad,720,0,BORDERLINE,Apple Community + iFixit + small repair sites,stuck-pixels-causes-and-fixes,1,done,blog,stuck-pixel-fixer
white dead pixel,720,0,BORDERLINE,Small pixel guides + Lenovo/HP knowledge bases,,0,done,tool,dead-pixel-test
1024 x 600 resolution,590,0,BORDERLINE,Informational; small tech forums + Wikipedia,,0,done,tool,resolution-checker
640 x 360 resolution,590,0,BORDERLINE,Informational; small tech forums + Wikipedia,,0,done,tool,resolution-checker
acer nitro 5 backlight bleed,590,0,BORDERLINE,Acer community + small tech blogs present,,0,todo,blog,backlight-bleed-test
asus monitor dead pixel,590,0,BORDERLINE,ASUS community + small tech guides,,0,todo,blog,dead-pixel-test
broken pixels on monitor,590,0,BORDERLINE,Small repair guides + manufacturer knowledge bases,,0,done,tool,dead-pixel-test
dead pixel led monitor,590,0,BORDERLINE,Small pixel guides + manufacturer knowledge bases,,0,done,tool,dead-pixel-test
led monitor dead pixel,590,0,BORDERLINE,Small pixel guides + manufacturer pages,,0,done,tool,dead-pixel-test
led screen dead pixel,590,0,BORDERLINE,Small pixel guides + manufacturer pages,,0,done,tool,dead-pixel-test
my refresh rate,590,0,BORDERLINE,Microsoft support + small how-to guides,,0,done,tool,refresh-rate-checker
oled burn in example,590,0,BORDERLINE,Mix of tech reviews + manufacturer pages,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
refresh rate ps4,590,0,BORDERLINE,PlayStation support + small gaming guides,refresh-rate-60hz-vs-144hz,1,done,blog,refresh-rate-checker
black pixel on screen,480,0,BORDERLINE,Small pixel fix guides + manufacturer pages,,0,done,tool,dead-pixel-test
dead pixel phone,480,0,BORDERLINE,Small repair guides + manufacturer pages,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dead pixel test android,480,0,BORDERLINE,Google Play apps present; also small test sites,,0,done,tool,dead-pixel-test
dead pixel white,480,0,BORDERLINE,Small pixel guides + Lenovo/HP knowledge bases,,0,done,tool,dead-pixel-test
dead pixel xiaomi,480,0,BORDERLINE,Xiaomi community forum + small repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dead pixels on phone screen,480,0,BORDERLINE,Small repair guides + manufacturer pages,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
light bleed samsung tv,480,0,BORDERLINE,Samsung community + small guides,,0,todo,blog,backlight-bleed-test
oled burn in gaming,480,0,BORDERLINE,Corsair + Tom's Hardware + PCWorld + small sites,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
samsung tv burn in,480,0,BORDERLINE,Samsung community + small guides,,0,todo,blog,image-retention-test
samsung tv light bleed,480,0,BORDERLINE,Samsung community + small guides,,0,todo,blog,backlight-bleed-test
stuck pixel macbook pro,480,0,BORDERLINE,Apple Community + MacRumors + small repair sites,stuck-pixels-causes-and-fixes,1,done,blog,stuck-pixel-fixer
bright pixel on screen,390,0,BORDERLINE,Small pixel fix guides; some manufacturer knowledge bases,,0,done,tool,dead-pixel-test
dead pixel phone screen,390,0,BORDERLINE,Small repair guides + manufacturer pages,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dot pixel monitor,390,0,BORDERLINE,Small pixel guides + manufacturer pages,,0,done,tool,dead-pixel-test
hot pixel monitor,390,0,BORDERLINE,Small pixel guides + manufacturer knowledge bases,,0,done,tool,dead-pixel-test
ips glow fix,390,0,BORDERLINE,DisplayNinja + HowToGeek + Dell + small tech blogs,,0,done,tool,ips-glow-test
lcd light leakage,390,0,BORDERLINE,Small backlight guides + manufacturer knowledge bases,,0,done,tool,backlight-bleed-test
lg dead pixel,390,0,BORDERLINE,LG community + small pixel guides,,0,todo,blog,dead-pixel-test
lg oled dead pixel,390,0,BORDERLINE,LG community + small pixel guides,,0,todo,blog,dead-pixel-test
lg oled tv dead pixel,390,0,BORDERLINE,LG community + small pixel guides,,0,todo,blog,dead-pixel-test
macbook screen bleed,390,0,BORDERLINE,Apple Community + MacRumors + iFixit present,what-is-backlight-bleed,1,done,blog,backlight-bleed-test
oled letterbox burn in,390,0,BORDERLINE,Mix of RTINGS + small forum posts,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
pixel burn in oled,390,0,BORDERLINE,Mix of OLED guides + manufacturer pages,,0,done,tool,image-retention-test
standard screen resolution sizes,390,0,BORDERLINE,Small tech guides + Wikipedia + manufacturer pages,understanding-monitor-resolution-dpi,1,done,blog,resolution-checker
dead phone pixels,320,0,BORDERLINE,Small repair guides + some manufacturer pages,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dead pixel iphone screen,320,0,BORDERLINE,Apple Community present + small iPhone repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
display refresh,320,0,BORDERLINE,RTINGS + small tech blogs + manufacturer pages,,0,done,tool,refresh-rate-checker
full screen resolution size,320,0,BORDERLINE,Small how-to guides + Wikipedia,,0,done,tool,resolution-checker
normal resolution for pc,320,0,BORDERLINE,Small tech guides + manufacturer pages,,0,done,tool,resolution-checker
oled gaming burn in,320,0,BORDERLINE,Monitor brands + Tom's Hardware + PCWorld present,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
samsung curved tv light bleed,320,0,BORDERLINE,Samsung community + small guides,,0,todo,blog,backlight-bleed-test
sony backlight bleeding,320,0,BORDERLINE,Sony community + small tech blogs,,0,todo,blog,backlight-bleed-test
sony tv dead pixel,320,0,BORDERLINE,Sony community + small repair sites,,0,todo,blog,dead-pixel-test
white stuck pixel,320,0,BORDERLINE,Small pixel guides + manufacturer knowledge bases,,0,done,tool,stuck-pixel-fixer
alienware backlight bleed,260,0,BORDERLINE,Dell community + small tech blogs present,,0,todo,blog,backlight-bleed-test
bright pixel iphone,260,0,BORDERLINE,Apple Community present; small iPhone repair sites,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
burnt pixel,260,0,BORDERLINE,Mix of small pixel fix/burn-in guides,,0,done,tool,image-retention-test
lg b9 burn in,260,0,BORDERLINE,LG official + RTINGS + forums + small sites,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
lg oled stuck pixel,260,0,BORDERLINE,LG community + small pixel guides,stuck-pixels-causes-and-fixes,1,done,blog,stuck-pixel-fixer
qled tv burn in,260,0,BORDERLINE,Samsung + tech publications + small guides,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
sony oled burn in,260,0,BORDERLINE,Sony support + RTINGS + small forums,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
sony oled tv burn in,260,0,BORDERLINE,Sony support + RTINGS + small forums,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
tv screen bleeding,260,0,BORDERLINE,Small guides + manufacturer support pages,,0,todo,blog,backlight-bleed-test
lg oled burn in fix,210,0,BORDERLINE,LG official support present; also small guides,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
black pixels on phone screen,210,0,BORDERLINE,Mix of small repair/help sites; Google support possible,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
burn in oled screen,210,0,BORDERLINE,Mix of manufacturer pages + small guides,,0,done,tool,image-retention-test
damaged pixels on phone,210,0,BORDERLINE,Small repair guides + manufacturer pages,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
dead pixel led,210,0,BORDERLINE,Small pixel fix guides + manufacturer pages,,0,done,tool,dead-pixel-test
dead pixel on phone test,210,0,BORDERLINE,Small pixel test tools + manufacturer pages,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
frozen pixel,210,0,BORDERLINE,Small pixel guides + manufacturer pages,,0,done,tool,stuck-pixel-fixer
led stuck pixel,210,0,BORDERLINE,Small pixel guides + manufacturer pages,,0,done,tool,stuck-pixel-fixer
led tv light bleed,210,0,BORDERLINE,Mix of small backlight guides + manufacturer blogs,,0,todo,blog,backlight-bleed-test
light bleed tv,210,0,BORDERLINE,Small guides + manufacturer pages,,0,todo,blog,backlight-bleed-test
oled c9 burn in,210,0,BORDERLINE,LG community + RTINGS + small forums,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
oled logo burn in,210,0,BORDERLINE,Mix of small guides + manufacturer pages,monitor-panel-types-ips-va-oled,1,done,blog,image-retention-test
ps5 refresh rate hz,210,0,BORDERLINE,Sony + Digital Foundry + small gaming guides,refresh-rate-60hz-vs-144hz,1,done,blog,refresh-rate-checker
refresh rate in computer graphics,210,0,BORDERLINE,Wikipedia + small educational blogs,refresh-rate-60hz-vs-144hz,1,done,blog,refresh-rate-checker
samsung monitor dead pixel,210,0,BORDERLINE,Samsung Community + small guides,how-to-test-monitor-dead-pixels,1,done,blog,dead-pixel-test
stuck pixel android,210,0,BORDERLINE,Google support + Google Play apps + small tools,stuck-pixels-causes-and-fixes,1,done,blog,stuck-pixel-fixer
white saturation,170,0,BORDERLINE,Microsoft Q&A + Intel + Apple Community + Lagom LCD test,,0,done,tool,white-saturation-test
1366 x 768 screen size,170,0,BORDERLINE,Informational; small tech blogs + Wikipedia,,0,done,tool,resolution-checker
480p widescreen,170,0,BORDERLINE,Informational; small tech blogs + Wikipedia,,0,done,tool,resolution-checker
480x320 resolution,170,0,BORDERLINE,Informational; small tech forums + Wikipedia,,0,done,tool,resolution-checker
backlight bleed samsung tv,170,0,BORDERLINE,Samsung community + small guides present,,0,todo,blog,backlight-bleed-test
backlight bleeding issue,170,0,BORDERLINE,Mix of small tech blogs + manufacturer pages,,0,done,tool,backlight-bleed-test
